,,Sentiment,Confidence
b chasbottom lung diseas wuhancoronaviru soooo n let s smoke pot n nrealli nregard sick leav state empl xe x xa http co admsmzbvzn,,Neutral,0.602
b comrad nycmayor the chinaviru wuhancoronaviru china period call it offend xe x xa http co kyvqhrvhc,,Positive,0.407
b richzeoli appar even favorit book store affect wuhancoronaviru http co zfeuvegi,,Positive,0.474
b philprang sharron royalti stormisuponu it exist realiti wuhancoronaviru exist poser,,Positive,0.558
b massiv surg britishcolumbia new case noplan covid wuhancoronaviru thankschina itsallmessedup http co lccow csc,,Positive,0.612
b leablackmiami funder he never call wuhancoronaviru hoax refer democrat amp medium c xe x xa http co gxx wkuarq,,Neutral,0.765
b sensand perhap worri death toll name n nwuhanflu wuhancoronaviru,,Neutral,0.658
b benedictrog wsj nytim washingtonpost borisjohnson dominicraab where freedomofspeech ni concern xe x xa http co uyjxlxum j,,Neutral,0.487
b senatorbiaggi who if xe x x go post pictur probabl good idea use clear one decent xe x xa http co ldqx kodpt,,Positive,0.624
b emilyrauhala just put record straight wuhancoronaviru found nov xe x xa http co bn boxzt,,Neutral,0.728
b for month continu told xe x x cmask xe x x work xe x x today i present n n xe x x cthe provinc expect recei xe x xa http co rf ri wu,,Positive,0.599
b hey democrat hear thi conserv loud amp proud we votedemsout masshysteria xe x xa http co miqw il v,,Positive,0.892
b latimesopinion xf x f x x remov your paywal xf x f x x n ncoronaviru chinesepneumonia wuhancoronaviru wuhanpneumonia xe x xa http co uyqkkk nvb,,Neutral,0.459
b sarafisch pippypip sara ccp china tri spin whole wuhancoronaviru countri fault xe x xa http co uttu udbi,,Positive,0.49
b what great american xf x f x xba xf x f x xb n nwereallinthistogeth nwuhancoronaviru http co jl ao bsvp,,Positive,0.823
b trump defeat wuhancoronaviru chief support progress one hand tie deepstat http co rjbxmcjjsr,,Neutral,0.561
b mjr xhnew it seem daughter grow stupid luckygirl wuhancoronaviru auspol,,Negative,0.776
b warehous m face mask fight covid who wuhanviru wuhan wuhancoronaviru wuhancoronavirusoutbreak xe x xa http co rpyqg f q,,Negative,0.363
b the manchurian suckup ngfi nwuhancoronaviru chinacoronaviru n kurtschlicht robprovinc buzzpatterson xe x xa http co iknbjzrvrn,,Neutral,0.655
b appar health care profession work hour day day week end sight collect xe x xa http co xgzszmi ta,,Neutral,0.785
b xhnew the incompet see use race card cover china failur contain xe x xa http co zh ifgebg,,Positive,0.472
b norbertelek wuhancoronaviru ccp culprit start,,Neutral,0.726
b sgra star yesnicksearci nbcnew who shoot dude ni chine american viru given xe x xa http co nqasudxntc,,Positive,0.455
b senwarren whitehous foxnew how work bill get u our relief instead tri correct ameri xe x xa http co rkjczdc g,,Positive,0.6
b senwarren stick wuhancoronaviru one apocalyps time plea chinawuhanviru that everyon freak,,Neutral,0.714
b nope great tool show incompet the viru spillov fault xe x xa http co cwre zm,,Positive,0.645
b misshellca laylow gorillastyl originalq shlomoindiana phil mckraken digivorr tourguidej xe x xa http co cu kpinjza,,Neutral,0.646
b xe x x citali coronaviru disast at first offici urg peopl go aperitif now doctor must cho xe x xa http co iaaz ml,,Negative,0.689
b it look like facebook go censorship rout wuhanviru i abl post articl xe x xa http co e e wwv c,,Negative,0.726
b trend hashtag chinaviru chineseviru wuhancoronaviru wuhan http co xjo cxityf,,Neutral,0.595
b stephenmcdonel china small allow free speech truth chineseviru chinesecoronaviru xe x xa http co i xjqsc oq,,Positive,0.755
b repjudychu thread msm chinesecoronaviru wuhancoronaviru racism nchineseviru nhttp co qsx m zfsb,,Neutral,0.678
b facebook censor articl critic china includ wuhan viru there someth wron xe x xa http co b uvgizcln,,Neutral,0.703
b cernovich see medium alreadi fall worship china china engin xe x xa http co o jfqmqbon,,Neutral,0.783
b china nurs got home front line adher day self quarantin hotel the neighbor shoo h xe x xa http co l iwkqru,,Negative,0.553
b china friend nwuhancoronaviru chinesecoronaviru n nchina is exploit the pandem and is activ xe x xa http co qp r gb k,,Negative,0.458
b just remind wuhan china xf x f x xa xf x f x xb chineseviru wuhancoronaviru we need hold china account xe x xa http co wnwnahdfal,,Positive,0.417
b bethanyallenebr ccp declar war u soon west weakest wuhancoronaviru,,Positive,0.55
b even fakenewscnn also agre presid realdonaldtrump kind leader peopl need xe x xa http co buxrr laka,,Negative,0.715
b sarafisch and restrict american free speech nwuflu nwuhancoronaviru nwuhanchineseviru,,Neutral,0.616
b xhnew it chine communist parti incompet chineseviru wuhancoronaviru wuhanviru xe x xa http co n tzyfs,,Negative,0.554
b madrid spain xf x f x xaa xf x f x xb deal covid aka wuhancoronaviru quarantin even dreari amp dread time xe x xa http co dpockrzamd,,Neutral,0.565
b nbcnew the truth truth matter tri spin it is chineseviru wuhancoronaviru xe x xa http co edebeaplzi,,Neutral,0.469
b virus name place thousand year n nwuhancoronaviru,,Neutral,0.781
b heathenonearth kamvtv xhnew chine sympath the wuhanviru wuhancoronaviru chineseviru noth xe x xa http co tl znrmrev,,Neutral,0.711
b hongkongfp it xe x x war get readi xe x x go unpreced social upheav hongkong go get fuck xe x xa http co upr vxw f,,Positive,0.485
b rip first dog die coronaviru mention thousand dog kill eaten china xf x f x xa xf x f x xb n nstop eati xe x xa http co teypchuf,,Negative,0.765
b covid chinesecoronaviru wuhancoronaviru xf x f x xb hypocrit xe xa xb xe xa xb xe xa xb http co wanpsdh up,,Negative,0.705
b fluorescentgrey lhfang china owe world break send billion peopl outright panic nli xe x xa http co ti poxhsgw,,Negative,0.585
b nytgraph xf x f x x remov your paywal xf x f x x n ncoronaviru chinesepneumonia wuhancoronaviru wuhanpneumonia xe x xa http co r vlrjpg,,Negative,0.469
b bobsegallwthr blah blah blah they realli dig deep pedojar one it xenophob it is xe x xa http co teuscfuwzf,,Negative,0.649
b the number death usa soar xf x f x xa wuhancoronaviru http co wepafkiaqu,,Neutral,0.644
b how mani covid test china per day ncovid covid corona coronarvirusitalia wuhan xe x xa http co uy cdi opx,,Neutral,0.52
b massago senwarren truli pathet use race card yawn n nwuhancoronaviru ntrump http co iibouwkglp,,Neutral,0.662
b we gotta right thing protect vulner stay home avoid infect sp xe x xa http co rmyczqkxm,,Negative,0.791
b chineseviru chinesecoronaviru chineseflu chinesewuhanviru wuflu wuhanviru wuhancoronaviru n nit began xe x xa http co ieizci fl,,Negative,0.677
b ampalsson merrilllynch nbcnew do realis said nthe wuhancoronaviru actual kill ppl,,Neutral,0.574
b wuhancoronaviru wuhanflu chinesecoronaviru let xe x x send china trillion bill cover econom loss xe x xa http co u doub bo,,Neutral,0.502
b repjudychu what specif violenc occur post actual report the viru origin wuhan china peo xe x xa http co pvio wt z,,Neutral,0.76
b china someth hide i afraid start war china alreadi plan mercantilist war xe x xa http co ml pxv,,Neutral,0.387
b kiwipetrolhead housegop realdonaldtrump whitehous stupid kiwi xf x f xa x xe x x ever read it xe x x wuhanviru xe x xa http co jxfk byk,,Neutral,0.384
b florida gov desanti give updat wuhancoronaviru http co vgrqfynm,,Neutral,0.799
b templartitaninc iran report singl day record new coronaviru death russia close border n ncoronaviru xe x xa http co ou rlhzlup,,Negative,0.419
b bryanyang it creat wuhan biotechnolog facil nwuhancoronaviru seem legit,,Positive,0.804
b mukt bjp suzann vacay xhnew h n swing flu origin mexico nhiv viru origin africa congo xe x xa http co frj abqefu,,Neutral,0.551
b nbcnew you sound like chine bot nbc the chinaviru wuhancoronaviru began china amp spread xe x xa http co plj pwmm z,,Neutral,0.486
b shock fact more american kid commit suicid school year die wuhancoronaviru xe x xa http co jwa vwe l,,Neutral,0.402
b pakistan biggest creditor none wuhanviru creator china whi niazi directli beg xi wh xe x xa http co oukpeuic k,,Neutral,0.575
b shefvaidya imrankhanpti pakistan biggest creditor none wuhanviru creator china whi ni xe x xa http co wsssatto j,,Positive,0.587
b wuhancoronaviru chine viru bitch,,Neutral,0.582
b kaptainkevo you say ageism discrimin n naccord unless person lynch murder xe x xa http co nrnkyhxn,,Neutral,0.653
b repjudychu do mean wuhancoronaviru,,Neutral,0.754
b coronavirusoutbreak codiv wuhancoronaviru covid n ninterest graphic ft financialtim http co ef hjpm z,,Neutral,0.587
b unesco hmm like hendra ebola saar middleeastr nipah no so yup it chineseviru chinesewuhanviru wuhancoronaviru,,Positive,0.477
b had respons viru comprehens thi biggest complaint wuhancoronaviru http co svshteotoa,,Negative,0.622
b sarafisch becaus chine wuhancoronaviru n nduh,,Neutral,0.645
b bobsegallwthr gaseascap ebola river africa lyme diseas place u see normal name ill ie s xe x xa http co lr xpdmn,,Neutral,0.835
b st patrick day quarantin feast corn beef cabbag potato amp corn muffin tv guid read amp choos progr xe x xa http co bfom lqyi,,Neutral,0.614
b cbsnew it rocket back wuhancoronaviru pas,,Positive,0.633
b senwarren whitehous foxnew stop xf x f x b x whitehous amp foxnew say wuhancoronaviru discrimin politicaljackasseri,,Neutral,0.717
b usmanmalik sameerasam warsonthebrink ur rule parti even bring back peopl china w xe x xa http co wjvzhvhdpg,,Negative,0.461
b whinni pooh piss titl ban western journalist precis n npooh need learn r xe x xa http co dkoxwdgoz,,Neutral,0.476
b thank china coronavirusoutbreak coronapocolyps wuhanviru wuhancoronaviru wuhancoronavirusoutbreak http co c fdizxwsj,,Neutral,0.616
b senwarren whitehous foxnew the viru start wuhan china to differenti viru kno xe x xa http co eagxjbgx h,,Neutral,0.71
b and fact chinaviru wuhanviru wuhancoronaviru http co u iotnyuu,,Neutral,0.814
b sarafisch it and wuhancoronaviru start china,,Neutral,0.857
b dengji qwqsyq you xe x x right wuhancoronaviru stupid wuflu much easier say let xe x x go wuflu xf x f x xb,,Positive,0.693
b lidia tariqnashe it wuhan wuhancoronaviru,,Neutral,0.688
b china declar war world chinaviru wuhanviru wuhancoronaviru fuckchina http co df ibx b,,Neutral,0.452
b there nwuhancoronaviru http co jzkp sv fl,,Negative,0.61
b anthoni fauci say lag coronaviru test fault trump cdc cdc anthonyfauci xe x xa http co ilviswt yv,,Neutral,0.65
b sarafisch let sugar coat sweetheart wuhancoronaviru chinesecoronaviru xf x f x xb,,Positive,0.589
b our thought prayer rest client n nfrom everi singl compani i deal n nthan xe x xa http co d aqjqcblu,,Positive,0.715
b watch learn america nwuhancoronaviru is b http co tgf q vcdz,,Neutral,0.408
b if see account say covid xe x xbc viru origin america keep mind might part ccp bot net xe x xa http co lckipbp o,,Neutral,0.586
b nbcnew we peopl proud presid realdonaldtrump call n nchineseviru nwuhancoronaviru,,Positive,0.66
b when realiz noplan justintrudeau need take matter hand canada xe x xa http co xnv l nsie,,Neutral,0.672
b angelo dloesch don xe x x get wrong i xe x x fine call chineseviru wuhanflu xe x xa http co rqgt cwfh,,Neutral,0.479
b wuhanviru wuhancoronaviru appar predict dean koontz http co e ydryr,,Neutral,0.713
b meggerz i xe x x realli take posit just say sjw want ruin countri languag polic xe x xa http co wevimg hi,,Negative,0.549
b ewerickson ingleslil ppl r naiv xf x f x x u guy r debat whether wuhancoronaviru chineseviru racism xe x xa http co zhrxhu nrc,,Neutral,0.456
b the right xe x x wuhancoronaviru http co iefq uxf,,Neutral,0.77
b mitchellvii when chelseaclinton claim realdonaldtrump prepar wuhancoronaviru i remi xe x xa http co gokhw y,,Neutral,0.765
b ebola name ebola river congo nipah viru name nipah malaysia import know origin point e xe x xa http co tosf anh,,Neutral,0.815
b sarafisch mayb origin china is chine viru you see chine adject xe x xa http co mrysv tfbv,,Neutral,0.537
b dbongino good see dictatorship focus prioriti save face save live nwuhancoronaviru ncommunistchinaviru,,Positive,0.505
b it seem life back normal chengdu sichuan provinc thi scene taken commerci hub taig xe x xa http co gu co af,,Positive,0.527
b chelseaclinton realdonaldtrump way ahead shut incom flight china januari xe x xa http co vjgfvjcj f,,Negative,0.784
b peopl hold who account they declar wuhancoronaviru pandem march what took xe x xa http co lkflhn auu,,Negative,0.55
b fernandoamandi china comunist leftist want world forget huge mess planet xe x xa http co zhtoqlgbnw,,Negative,0.457
b hongkong xe x x carrielam refus set independ investig panel look policebrut case c xe x xa http co zdqmxqanfg,,Neutral,0.638
b imo pm trudeau play russian roulett illeg border crosser roxham road place along xe x xa http co dzr ujcyf,,Neutral,0.548
b call viru xf x f x x f xf x f x x f xf x f x x f nchineseviru chineseviru chinaviru wuhanviru wuhancoronaviru xe x xa http co aolxcclsef,,Negative,0.628
b thi xe x x boil nyc coronavirusoutbreak wuhancoronaviru stayhomechalleng xe x xa http co af msdgpao,,Neutral,0.747
b corrupt murder cultur ancestor came n ni hope wuhancoronaviru caus lot stigma xe x xa http co v sjntazt,,Negative,0.671
b wuhancoronaviru updat covid http co ihtyfcudum,,Neutral,0.846
b listen stuck quarantin tonight men mask origin releas sar epidem xe x xa http co isq oa md,,Neutral,0.789
b humor time wuhancoronaviru xf x f x x http co cq yojaagt,,Positive,0.825
b god damn marvel just shutter door perman blame wuhancoronaviru need but enough bul xe x xa http co n p ju qw,,Positive,0.916
b sarafisch screw who i like beatl better anyway n nbtw it actual call xe x xa http co ydea kyuu,,Positive,0.535
b dang we pull west virginia u state free wuhancoronaviru xf x f xa xb http co vhwdjkufk,,Neutral,0.606
b willchamberlain jessekellydc mikebloomberg china model allow poor hygien ghastli food practi xe x xa http co jagddmwneu,,Neutral,0.541
b weijia serious dont believ word say wuhanviru wuhancoronaviru chineseviru,,Positive,0.616
b wow n nmsm refer wuhancoronaviru n nnow xe x x racist n nhypocrit much http co hzcmxsgjkb,,Negative,0.613
b hedgespethrog no matter trump said therefor automat racist xenophob sexist xe x xa http co gtdqebmzfv,,Negative,0.676
b sarafisch deafdumbandblind scienc mayb sarafisch choic info capac xe x xa http co hrbndyzdci,,Neutral,0.611
b more kansa case wuhancoronaviru nwuhanflu nhttp co f ujmb cw,,Neutral,0.519
b sarafisch deafdumbandblind scienc mayb sarafisch choic info capac xe x xa http co u tcztx,,Neutral,0.745
b ozraeliavi i still call wuhancoronaviru,,Neutral,0.784
b bopinion encourag tehran upris bolshevik revolut last thing respons medium outlet xe x xa http co wex s p,,Negative,0.622
b sarafisch i prefer stone whatev chinesecoronaviru wuhancoronaviru china http co eqstv yo,,Neutral,0.588
b more incompet liberalparti canadaisbroken itsallmessedup wuhancoronaviru china covid xe x xa http co lm xnl lzr,,Negative,0.659
b i wonder mani xe x x cconfirm xe x x wuhan coronaviru confirm dead flu shot recent shot xe x xa http co ehhbkuy w,,Positive,0.363
b jackposobiec respons wuhancoronaviru,,Neutral,0.645
b bobsegallwthr joepalojo how wuhancoronaviru cupcak how acosta usnew nytim xe x xa http co wnznh l,,Neutral,0.743
b ericg realdonaldtrump lie amp disinform n n joebiden fals say realdonaldtrump administr reject xe x xa http co tjuhxibv x,,Negative,0.391
b xhnew lol incompet you guy one either made lab got eat wild anima xe x xa http co hawofjzydh,,Negative,0.515
b anncoult wuhancoronaviru would interest medium would tell u someth heard xe x xa http co yfsslkeddk,,Neutral,0.657
b jijuipforgam the world claim ccp everi loss life econom activ beco chine viru nwuhancoronaviru,,Negative,0.487
b if i run i crawl i swim river climb wall kungflu xe x xa http co uc sssqgr,,Positive,0.657
b at least new wuhancoronaviru case ad hongkong bring citi total outta case hav xe x xa http co xspmckhnk,,Neutral,0.7
b the world hold ccp account live lost wuhancoronaviru pandem n nextrem angri xe x xa http co v etpfvql,,Negative,0.722